customer_id,name,email,Country,age,signup_date,marketing_opt_in
1,Jennifer Salinas,nicholas59@example.org,Japan,71,04-09-2020,TRUE
2,Phillip Ramos,christinarubio@example.com,India,26,05-04-2020,FALSE
3,Dawn Fowler,jessica03@example.org,Brazil,21,31-08-2023,TRUE
4,Mario Butler,paula27@example.org,France,63,30-06-2022,TRUE
5,Amber Brown,kevin85@example.net,Brazil,19,22-07-2022,TRUE
6,Kevin Chapman,michaelpoole@example.org,United States,28,21-10-2020,FALSE
7,Timothy Sanchez,shannonbrown@example.org,India,48,24-07-2025,FALSE
8,Rachael Morales,tammy08@example.com,United Kingdom,33,09-10-2022,TRUE
9,Laura Guzman,awright@example.org,United States,32,29-07-2024,TRUE
10,Alexander Lopez,brianmaxwell@example.org,Japan,39,13-01-2023,TRUE
11,Mary Gonzalez,mgonzalez@example.net,Mexico,68,11-01-2022,TRUE
12,Margaret Li,williambrown@example.net,United States,70,16-05-2021,FALSE
13,Steve Logan,brookssamuel@example.com,Australia,41,13-08-2023,TRUE
14,Matthew Thompson,greendawn@example.org,Singapore,28,13-01-2021,TRUE
15,Paul Neal,jennifer48@example.net,Australia,52,14-06-2020,TRUE
16,Richard Mills,kenneth31@example.net,Japan,51,20-06-2023,FALSE
17,David Young,shirleyreese@example.com,United States,31,15-05-2025,TRUE
18,James Burke,osolomon@example.net,India,45,12-02-2020,FALSE
19,Dr. Kimberly Kennedy,mathewssamuel@example.net,Australia,57,01-07-2021,FALSE
20,Stephen Mccormick,edean@example.net,United Arab Emirates,33,02-06-2022,TRUE
21,Brianna Johnson,howellevan@example.org,United States,73,26-03-2020,TRUE
22,Amanda Taylor,terryjillian@example.org,Australia,59,17-03-2022,FALSE
23,Pamela Gonzalez,hobbskatelyn@example.net,United States,22,10-01-2025,FALSE
24,Ashley Harris,johnsonstacy@example.net,United Kingdom,22,30-04-2023,FALSE
25,Paul Chen,ggarcia@example.net,United States,41,22-07-2024,TRUE
26,Francis Coleman,bellsarah@example.org,United States,49,27-09-2024,FALSE
27,Isabel Flores,nyork@example.net,India,35,04-05-2024,FALSE
28,Jason Graham,reedjanet@example.net,United States,24,30-10-2023,TRUE
29,Michelle Carey,george08@example.org,France,62,11-05-2023,TRUE
30,Paul Brown,travis72@example.com,Mexico,47,21-10-2020,TRUE
31,Tina Robertson,justinlewis@example.net,United States,71,02-10-2021,FALSE
32,Christopher Mcmillan,henryvickie@example.net,Mexico,69,27-11-2020,TRUE
33,Lori Kelly,vmcfarland@example.org,United Kingdom,18,08-11-2022,FALSE
34,Matthew Watson,jose88@example.org,Mexico,28,13-08-2020,FALSE
35,Stephen Hall,mmartinez@example.net,Poland,60,17-08-2025,TRUE
36,Maria Bailey,aimee78@example.net,United States,24,21-05-2020,FALSE
37,Joel Norris,beth25@example.com,France,59,26-06-2020,TRUE
38,Melissa Romero,kevin92@example.net,Canada,22,18-12-2024,TRUE
39,David Nguyen,eugene53@example.com,Mexico,26,13-04-2022,FALSE
40,Monica Garcia,gonzalezedward@example.org,Germany,64,09-01-2023,TRUE
41,Morgan Graham,danielpruitt@example.com,Brazil,34,21-02-2023,TRUE
42,James Johnson,bdickerson@example.net,Netherlands,25,31-05-2021,FALSE
43,William Phillips,thomascassandra@example.com,United Kingdom,42,30-05-2021,FALSE
44,David Farrell,qsingleton@example.net,Canada,30,03-04-2020,FALSE
45,Sherry May,erinmay@example.com,Mexico,33,08-04-2023,FALSE
46,David Haynes,zsanchez@example.net,United Kingdom,18,05-01-2024,TRUE
47,Brooke Atkinson,ngibson@example.com,Germany,41,23-08-2025,TRUE
48,Mary Salas,kimberly67@example.org,Spain,49,01-04-2020,TRUE
49,Joshua Martin,aprilgarcia@example.net,Sweden,49,30-11-2023,TRUE
50,Daniel Alvarez,fowlermaria@example.net,Spain,29,31-12-2020,FALSE
51,Patrick Bryant,philipfarmer@example.org,France,25,16-08-2023,TRUE
52,Lisa Walsh,joshua60@example.org,Germany,48,06-04-2022,TRUE
53,Thomas Fuller,betty13@example.com,Sweden,22,17-11-2022,TRUE
54,Teresa Rose,virginiayu@example.com,United Arab Emirates,54,12-02-2024,FALSE
55,Carl Frank,taylorhart@example.org,United States,45,14-03-2023,TRUE
56,Brianna Wade,smcdonald@example.net,Netherlands,50,14-01-2022,FALSE
57,Penny Harrison,josephbennett@example.com,United States,48,21-10-2021,TRUE
58,Miss Karen Trujillo,michael45@example.com,Brazil,26,03-12-2023,TRUE
59,Mr. Bradley Prince,sarahdickerson@example.org,Australia,24,08-11-2023,TRUE
60,Justin Nguyen,alyssareed@example.net,Brazil,22,21-08-2025,TRUE
61,Adam Lynn,john19@example.org,Spain,29,15-01-2024,TRUE
62,Charlene Hayes,jasonpowell@example.net,India,50,03-05-2025,FALSE
63,Steven Franklin,barnettpatricia@example.net,Spain,65,22-06-2025,TRUE
64,Christina Schwartz,harmonsamuel@example.org,United Kingdom,49,07-07-2025,FALSE
65,Deborah Young,thomasgrant@example.com,India,27,08-03-2021,TRUE
66,Charles Henry,mmartin@example.net,United Arab Emirates,72,27-09-2022,FALSE
67,Ryan Mcdonald,dortega@example.com,Mexico,29,01-08-2025,FALSE
68,Zachary Lowe,danafields@example.org,Poland,75,18-02-2020,FALSE
69,Angel Doyle,lindsey18@example.com,Canada,20,28-10-2023,TRUE
70,Dr. Andrew Robbins,matthewhensley@example.com,Brazil,37,12-03-2021,FALSE
71,Richard Spencer,justinpeterson@example.com,Canada,22,17-12-2024,TRUE
72,Samantha Carter,gpowell@example.com,United States,41,10-10-2025,FALSE
73,Haley Harris,vconner@example.org,United States,41,25-12-2021,TRUE
74,Edwin Willis,muellerbilly@example.net,India,31,08-03-2024,FALSE
75,Jennifer Andrews,aevans@example.org,Canada,48,03-11-2021,TRUE
76,Thomas Franklin,mccormickrenee@example.net,United Kingdom,66,19-11-2023,TRUE
77,Charles Nunez,lewiselizabeth@example.com,United States,44,18-06-2023,FALSE
78,Carrie Alvarado,fishercraig@example.net,Sweden,67,12-03-2020,TRUE
79,Shane Taylor,anna44@example.org,United States,69,01-01-2020,TRUE
80,Fernando Jordan,jimenezalexa@example.org,Spain,53,12-11-2023,FALSE
81,Jennifer Dominguez,agriffin@example.net,United Kingdom,53,03-03-2021,TRUE
82,Kevin Pace,thomasgutierrez@example.org,United States,26,16-07-2023,FALSE
83,John Huang,simmonsalbert@example.net,Poland,74,24-02-2021,FALSE
84,Vincent Davis,andersonandrew@example.net,United Kingdom,28,05-06-2021,TRUE
85,Joanne Manning,diazjulie@example.net,Brazil,34,06-11-2023,FALSE
86,Monica Miller,qmurray@example.org,Canada,27,17-08-2025,FALSE
87,Alexandra Smith,pricelarry@example.net,Singapore,63,15-04-2022,TRUE
88,Scott Tucker,stewartstacy@example.net,France,70,09-06-2020,TRUE
89,Michael Thomas,coxdeanna@example.net,Mexico,22,24-02-2020,TRUE
90,Karen Strickland,yduffy@example.net,Mexico,44,28-06-2021,TRUE
91,Douglas Howell,molly02@example.net,Brazil,69,16-03-2023,FALSE
92,Lauren Bray,nicholascohen@example.net,Poland,46,12-05-2024,TRUE
93,Cynthia Hayes,morrisjoseph@example.org,Netherlands,61,06-08-2025,FALSE
94,Rose Clay,robertsdonald@example.net,Singapore,30,09-06-2024,TRUE
95,William Robles,freed@example.net,Mexico,54,13-01-2025,TRUE
96,Rebecca Gonzalez,kylebrown@example.com,Australia,44,05-03-2022,TRUE
97,Daniel Scott,connersteve@example.org,United Kingdom,70,15-06-2024,TRUE
98,Heather Brown,qriley@example.net,Australia,48,26-06-2020,TRUE
99,Jonathan Harris,jameswhite@example.net,Brazil,18,16-10-2022,TRUE
100,Kenneth Howard,johnlivingston@example.com,India,63,22-11-2022,FALSE
101,Brian Chen,moorecarla@example.com,Spain,38,14-07-2021,FALSE
102,Lawrence Davis,veronicacline@example.com,Singapore,23,24-12-2021,FALSE
103,Cindy Schaefer,ronald79@example.net,Sweden,43,05-10-2021,FALSE
104,Dawn Johnson,virginiagray@example.org,Germany,63,23-12-2021,TRUE
105,Justin Harrell,etucker@example.net,Spain,41,22-08-2025,TRUE
106,Tammy Mccarthy,scottanne@example.net,Australia,74,22-11-2021,TRUE
107,Thomas Hunter,shanemoore@example.org,Netherlands,74,20-04-2020,TRUE
108,Courtney Johnson MD,brian80@example.org,Australia,48,31-07-2023,FALSE
109,Jose Stevenson,jbrown@example.com,Poland,40,28-10-2022,TRUE
110,Teresa Rhodes,brittany71@example.com,Germany,69,20-09-2023,TRUE
111,David Martinez,cgray@example.org,India,67,24-02-2020,TRUE
112,Suzanne Mcclain,mlove@example.org,United States,58,22-02-2023,FALSE
113,Ross Miller,pamela27@example.org,Australia,58,05-09-2024,TRUE
114,Janice Johnson,chavezmatthew@example.org,Singapore,30,13-01-2025,TRUE
115,Mark Thomas,jillwhite@example.com,Australia,28,23-07-2022,FALSE
116,Brianna Harrell,robert32@example.org,Spain,60,10-02-2025,FALSE
117,Ryan Cook,jorgerodriguez@example.com,United States,75,03-01-2025,TRUE
118,Ashley Irwin,welchkristin@example.org,France,53,19-07-2024,TRUE
